"Day","Treatment","Secondary","Area.mean","Area.se"
"Day1","Ambient","None",26.0865,2.45485507039961
"Day1","Low","None",29.4145,3.11971327475245
"Day1","Medium","None",23.40975,2.23500061055174
"Day10","Ambient","None",26.157125,1.24523223695756
"Day10","Low","None",23.1759375,1.65462357619679
"Day10","Medium","None",26.5658125,2.02489496274652
"Day135","Ambient","None",93.8369285714286,4.23410775722714
"Day135","Low","None",99.5983703703704,2.7824588264881
"Day135","Medium","None",105.827188679245,3.31930440466226
"Day145","Ambient","Ambient",115.834,8.9423502988122
"Day145","Ambient","Medium",82.4583333333333,7.32843797666172
"Day145","Low","Ambient",89.236,3.95464517045998
"Day145","Low","Medium",92.9373333333333,7.65860092584893
"Day145","Medium","Ambient",99.62275,6.725159830392
"Day145","Medium","Medium",98.8358333333333,4.76764735170315
"Day158","Ambient","Ambient",106.2555,8.07560023642648
"Day158","Ambient","Medium",76.833375,8.11662454238543
"Day158","Low","Ambient",96.1900714285714,7.04877856574019
"Day158","Low","Medium",94.416625,5.9703178557727
"Day158","Medium","Ambient",109.821357142857,6.58342691049219
"Day158","Medium","Medium",89.8772666666667,4.07622973261025
"Day23","Ambient","None",39.44125,2.08752797286647
"Day23","Low","None",31.4941875,1.49377833925349
"Day23","Medium","None",31.9244615384615,2.87989773370644
"Day51","Ambient","None",74.8718125,4.51466700434885
"Day51","Low","None",71.3566875,3.69106335256607
"Day51","Medium","None",75.54175,4.04756845989046
